epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,17.3638,1.22121,2.75075,2.08265,1.20433,0,0.41191,0.32459,0.2658,0.17425,0.23403,0.11188,0.06262,0.03256,1.34437,21.4175,2.12407,1.26954,0,0.00032906,0.00032906,0.0674231
2,32.5488,1.24758,2.56555,1.61469,1.18573,0,0.39805,0.23757,0.20054,0.12663,0.28855,0.18785,0.12734,0.05708,1.53555,6.28536,2.13034,1.49144,0,0.000658723,0.000658723,0.0344194
3,47.5696,1.29328,2.54581,1.63688,1.20732,0,0.38869,0.25967,0.19819,0.12393,0.36685,0.24724,0.17008,0.09479,1.45921,5.27183,2.65305,1.33851,0,0.000973796,0.000973796,0.00140115
4,63.0806,1.32437,2.59937,1.62003,1.22012,0,0.48127,0.31397,0.27908,0.18059,0.48614,0.311,0.27043,0.14387,1.42122,3.0757,2.39374,1.32192,0,0.000950953,0.000950953,0.000950953
5,77.4396,1.24142,2.50898,1.50041,1.18563,0,0.47877,0.31077,0.27445,0.17074,0.44822,0.29282,0.24466,0.13011,1.38858,3.20938,2.48714,1.25569,0,0.000914058,0.000914058,0.000914058
6,91.4351,1.25797,2.48189,1.50279,1.20554,0,0.44574,0.33978,0.31637,0.21118,0.47162,0.32182,0.29692,0.17595,1.33821,2.85085,1.88977,1.22585,0,0.000868198,0.000868198,0.000868198
7,105.558,1.22537,2.45417,1.46376,1.17084,0,0.45112,0.34945,0.31498,0.21164,0.43864,0.33978,0.2957,0.18116,1.30473,2.84598,1.92193,1.23938,0,0.000814503,0.000814503,0.000814503
8,119.584,1.22761,2.44405,1.4649,1.17829,0,0.47644,0.35359,0.33134,0.21955,0.48879,0.34392,0.31568,0.19558,1.283,2.54745,1.80555,1.21116,0,0.000754296,0.000754296,0.000754296
9,133.821,1.17281,2.37121,1.41768,1.15947,0,0.50808,0.34254,0.34426,0.2323,0.51306,0.32873,0.33371,0.20504,1.29967,2.5601,2.16792,1.21524,0,0.000689058,0.000689058,0.000689058
10,148.096,1.14542,2.33683,1.36791,1.13988,0,0.59988,0.35221,0.38601,0.25915,0.59853,0.3453,0.364,0.22018,1.25594,2.60817,1.55902,1.20423,0,0.000620396,0.000620396,0.000620396
11,182.273,1.20239,2.4071,1.54381,1.17889,0,0.47694,0.37431,0.35813,0.24249,0.4813,0.37431,0.34872,0.21496,1.22391,2.42738,1.75226,1.17977,0,0.00055,0.00055,0.00055
12,196.885,1.16278,2.29196,1.41807,1.15422,0,0.58369,0.38536,0.39544,0.26973,0.58597,0.38536,0.38342,0.23414,1.19726,2.4033,1.48564,1.16782,0,0.000479604,0.000479604,0.000479604
13,211.185,1.15941,2.30816,1.44896,1.17781,0,0.53975,0.42115,0.42002,0.28681,0.55079,0.39629,0.39889,0.25117,1.20733,2.42665,1.4618,1.17888,0,0.000410942,0.000410942,0.000410942
14,225.727,1.10659,2.20513,1.33703,1.12976,0,0.5807,0.41713,0.43086,0.29538,0.57981,0.40884,0.41937,0.26412,1.18228,2.41892,1.43667,1.16688,0,0.000345704,0.000345704,0.000345704
15,240.038,1.07717,2.18484,1.31681,1.11855,0,0.62963,0.37293,0.42124,0.28863,0.64166,0.37155,0.40606,0.25438,1.17299,2.4063,1.4387,1.15204,0,0.000285497,0.000285497,0.000285497
16,254.689,1.06442,2.12368,1.23883,1.10468,0,0.57557,0.42541,0.44164,0.30365,0.62571,0.3895,0.42422,0.26936,1.15231,2.3387,1.35116,1.14636,0,0.000231802,0.000231802,0.000231802
17,269.034,1.03821,2.06638,1.19612,1.09797,0,0.5629,0.44061,0.43519,0.30559,0.56466,0.43094,0.41625,0.26283,1.13353,2.29733,1.35518,1.14218,0,0.000185942,0.000185942,0.000185942
18,283.359,1.02233,2.05093,1.1741,1.07659,0,0.60339,0.41851,0.44608,0.31302,0.60477,0.41298,0.43249,0.27506,1.12916,2.29333,1.32971,1.1319,0,0.000149047,0.000149047,0.000149047
19,297.599,1.00629,2.03227,1.12838,1.07004,0,0.63345,0.4116,0.44787,0.3121,0.67127,0.41022,0.42874,0.27143,1.1257,2.28988,1.3334,1.13065,0,0.000122025,0.000122025,0.000122025
20,311.657,0.9893,2.00733,1.10164,1.06754,0,0.56656,0.43232,0.44703,0.3159,0.63141,0.3895,0.42767,0.26953,1.12135,2.30016,1.32031,1.12766,0,0.00010554,0.00010554,0.00010554
