epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,15.8077,1.11333,2.54004,1.87247,1.13306,0,0.37727,0.2942,0.22039,0.14142,0.05821,0.03177,0.00385,0.00135,1.33953,40.0988,2.97583,1.25009,0,0.00032906,0.00032906,0.0674231
2,30.1417,1.18458,2.41924,1.46405,1.14528,0,0.35386,0.34116,0.23266,0.14432,0.11412,0.1105,0.04351,0.02193,1.38243,24.8725,2.2988,1.32004,0,0.000632585,0.000632585,0.0343933
3,45.6227,1.19994,2.38212,1.52769,1.15352,0,0.41088,0.28315,0.23539,0.14919,0.32051,0.21271,0.1523,0.0688,1.41612,4.1942,4.55051,1.31525,0,0.000906111,0.000906111,0.00133346
4,60.7335,1.17862,2.31452,1.41357,1.15645,0,0.44896,0.35359,0.30862,0.19516,0.41304,0.32182,0.26014,0.13704,1.39522,3.26066,2.17395,1.31,0,0.000865,0.000865,0.000865
5,75.9263,1.19014,2.33254,1.4178,1.15388,0,0.47262,0.38674,0.34226,0.23025,0.47961,0.38398,0.33377,0.2037,1.34535,2.82235,2.03238,1.27085,0,0.00082,0.00082,0.00082
6,90.995,1.13729,2.19863,1.34699,1.11558,0,0.46087,0.36878,0.32263,0.2151,0.45929,0.36487,0.31665,0.19208,1.29995,2.73508,1.89878,1.22206,0,0.000775,0.000775,0.000775
7,106.39,1.12031,2.2334,1.32358,1.11753,0,0.51518,0.3605,0.34871,0.2306,0.50908,0.3605,0.34425,0.20509,1.32785,2.68554,1.82438,1.22116,0,0.00073,0.00073,0.00073
8,121.372,1.12653,2.18211,1.29398,1.10372,0,0.52302,0.35289,0.33538,0.22741,0.52217,0.34254,0.3193,0.19838,1.30335,2.73313,1.63581,1.22988,0,0.000685,0.000685,0.000685
9,136.745,1.08051,2.12308,1.25133,1.10556,0,0.54984,0.36878,0.36831,0.24051,0.54983,0.38464,0.37095,0.22085,1.2836,2.6458,1.60209,1.22409,0,0.00064,0.00064,0.00064
10,151.894,1.06722,2.06459,1.22023,1.08517,0,0.53707,0.35497,0.34894,0.2282,0.54052,0.35497,0.34317,0.20304,1.22098,2.49921,1.84348,1.1996,0,0.000595,0.000595,0.000595
11,187.753,1.15205,2.24575,1.37567,1.14869,0,0.56475,0.36326,0.36476,0.24333,0.56559,0.35635,0.35145,0.21199,1.27022,2.61409,1.77267,1.2004,0,0.00055,0.00055,0.00055
12,202.716,1.11164,2.17003,1.29166,1.11762,0,0.53788,0.40193,0.38799,0.25699,0.5429,0.38812,0.37706,0.22478,1.24916,2.5386,1.53473,1.17345,0,0.000505,0.000505,0.000505
13,217.46,1.11476,2.16538,1.35159,1.13822,0,0.56242,0.37155,0.38958,0.25842,0.58847,0.37431,0.38355,0.23673,1.28648,2.5142,1.57707,1.20681,0,0.00046,0.00046,0.00046
14,232.463,1.07077,2.07759,1.22907,1.10549,0,0.56794,0.39762,0.4106,0.27679,0.55234,0.38812,0.39124,0.2404,1.21771,2.4832,1.44457,1.18187,0,0.000415,0.000415,0.000415
15,247.316,1.04168,2.07685,1.18527,1.08762,0,0.61308,0.40608,0.42731,0.29133,0.63763,0.39129,0.40916,0.24913,1.20219,2.42848,1.43436,1.15856,0,0.00037,0.00037,0.00037
16,262.241,1.00654,1.97289,1.12942,1.0551,0,0.54414,0.4116,0.41711,0.28219,0.55833,0.40608,0.40704,0.25663,1.20076,2.39935,1.4121,1.16938,0,0.000325,0.000325,0.000325
17,277.158,0.96988,1.92292,1.0609,1.04894,0,0.62667,0.41022,0.44586,0.30271,0.62505,0.40884,0.42422,0.26202,1.17202,2.36813,1.36598,1.15888,0,0.00028,0.00028,0.00028
18,292.327,0.965,1.89272,1.03168,1.03189,0,0.59689,0.41926,0.43456,0.30131,0.60082,0.42202,0.42081,0.26374,1.15841,2.42302,1.40213,1.14396,0,0.000235,0.000235,0.000235
19,308.434,0.93197,1.85489,0.99409,1.01533,0,0.59805,0.41851,0.44297,0.30638,0.62659,0.41488,0.43004,0.26692,1.16374,2.38365,1.38326,1.15369,0,0.00019,0.00019,0.00019
20,324.587,0.91117,1.80215,0.95405,1.00554,0,0.61173,0.42541,0.45048,0.31357,0.60997,0.41258,0.43284,0.27106,1.15531,2.39521,1.3222,1.14283,0,0.000145,0.000145,0.000145
