epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,421.781,0.88417,1.68051,0.90069,0.98821,0,0.64522,0.3674,0.40721,0.28699,0.62712,0.38097,0.39986,0.25221,1.15231,2.47222,1.47021,1.14688,0,0.00037,0.00037,0.00037
30,435.864,0.86219,1.66851,0.87139,0.98775,0,0.61378,0.37754,0.42013,0.29262,0.62416,0.37845,0.40939,0.25673,1.16307,2.41484,1.41463,1.15628,0,0.0003475,0.0003475,0.0003475
31,470.752,0.91254,1.76581,1.00047,1.01907,0,0.57349,0.4047,0.42054,0.29172,0.56852,0.39856,0.40519,0.2558,1.16942,2.41252,1.45212,1.16058,0,0.000325,0.000325,0.000325
32,484.672,0.92434,1.8281,1.02539,1.02398,0,0.62466,0.41022,0.44302,0.31015,0.62046,0.40746,0.42823,0.26889,1.13437,2.48026,1.37537,1.14396,0,0.0003025,0.0003025,0.0003025
33,498.69,0.924,1.76621,0.99114,1.04828,0,0.58383,0.4116,0.43037,0.29419,0.60014,0.40331,0.41225,0.25802,1.18085,2.46492,1.43181,1.17655,0,0.00028,0.00028,0.00028
34,512.751,0.90999,1.79151,0.98492,1.02597,0,0.61553,0.40884,0.43818,0.30583,0.60768,0.40331,0.42489,0.26822,1.15453,2.48465,1.39698,1.158,0,0.0002575,0.0002575,0.0002575
35,527.439,0.87763,1.76244,0.91494,1.00321,0,0.62422,0.40608,0.43956,0.30422,0.62165,0.40331,0.42529,0.25934,1.14543,2.45562,1.37009,1.14761,0,0.000235,0.000235,0.000235
36,542.095,0.86008,1.65371,0.83946,0.99345,0,0.63146,0.42126,0.45348,0.31495,0.62111,0.41435,0.43531,0.271,1.12651,2.44302,1.31933,1.13035,0,0.0002125,0.0002125,0.0002125
37,556.216,0.83995,1.61878,0.79882,0.96637,0,0.60974,0.40608,0.43948,0.30463,0.63851,0.3826,0.42205,0.26709,1.14195,2.47564,1.35593,1.13845,0,0.00019,0.00019,0.00019
38,570.265,0.85858,1.64139,0.82153,0.98522,0,0.68001,0.38158,0.44435,0.30384,0.68233,0.37431,0.42379,0.25974,1.14487,2.51385,1.39033,1.14537,0,0.0001675,0.0001675,0.0001675
39,584.458,0.8236,1.56936,0.75415,0.96765,0,0.60071,0.42182,0.44704,0.31063,0.61523,0.41298,0.43332,0.26732,1.1431,2.46886,1.35781,1.14517,0,0.000145,0.000145,0.000145
40,598.45,0.81318,1.60126,0.76525,0.96322,0,0.64399,0.4047,0.44505,0.30613,0.64987,0.39736,0.42632,0.2601,1.13867,2.52922,1.3357,1.14831,0,0.0001225,0.0001225,0.0001225
