epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
23,351.832,0.94011,1.81099,0.98239,1.01819,0,0.62925,0.34669,0.39359,0.26769,0.63153,0.3453,0.37465,0.23003,1.23427,2.51729,1.60768,1.14387,0,0.000604,0.000604,0.000604
24,366.828,0.91989,1.8011,0.96081,1.01163,0,0.61836,0.37983,0.41367,0.28502,0.65239,0.37431,0.40271,0.25028,1.19539,2.40002,1.45814,1.14682,0,0.000586,0.000586,0.000586
25,382.035,0.93502,1.84319,0.97781,1.01554,0,0.70034,0.34392,0.40875,0.27567,0.64954,0.34945,0.39608,0.23674,1.23675,2.42539,1.44614,1.17017,0,0.000568,0.000568,0.000568
26,397.063,0.93261,1.81472,0.95831,1.01292,0,0.54652,0.38812,0.39973,0.26628,0.55489,0.37536,0.38303,0.2279,1.22987,2.52112,1.75527,1.15323,0,0.00055,0.00055,0.00055
27,412.441,0.91116,1.77715,0.93608,1.00047,0,0.54134,0.41022,0.38545,0.26628,0.54693,0.40331,0.37699,0.23016,1.22383,2.51122,1.49853,1.15801,0,0.000532,0.000532,0.000532
28,427.624,0.8983,1.76467,0.90768,0.99056,0,0.59182,0.41655,0.43103,0.29469,0.59297,0.39641,0.40677,0.2534,1.21267,2.48549,1.386,1.13778,0,0.000514,0.000514,0.000514
29,443.186,0.895,1.71942,0.94321,0.99734,0,0.60125,0.40193,0.42096,0.29199,0.60624,0.4116,0.41821,0.25491,1.18401,2.4457,1.45652,1.13784,0,0.000496,0.000496,0.000496
30,458.214,0.91457,1.74274,0.91557,1.00691,0,0.60732,0.39779,0.41443,0.29002,0.61762,0.39487,0.40637,0.25335,1.17952,2.51261,1.55369,1.13856,0,0.000478,0.000478,0.000478
31,473.025,0.87968,1.71639,0.89172,0.99325,0,0.53848,0.41298,0.41169,0.28409,0.53996,0.40746,0.39837,0.24578,1.19474,2.48494,1.474,1.14886,0,0.00046,0.00046,0.00046
32,488.081,0.90499,1.76602,0.89796,1.00312,0,0.59359,0.38936,0.40545,0.27529,0.58728,0.38522,0.38938,0.24694,1.19998,2.41774,1.59858,1.1503,0,0.000442,0.000442,0.000442
33,503.186,0.86967,1.6399,0.85569,0.97761,0,0.51987,0.42323,0.39866,0.27411,0.58773,0.38674,0.38999,0.23637,1.20549,2.45352,1.60291,1.15119,0,0.000424,0.000424,0.000424
34,518.708,0.88282,1.71303,0.85962,0.99391,0,0.59505,0.39088,0.41094,0.28434,0.59926,0.39365,0.40646,0.24796,1.19764,2.45131,1.57404,1.1578,0,0.000406,0.000406,0.000406
35,533.926,0.84426,1.6838,0.83723,0.97566,0,0.57817,0.38998,0.423,0.29162,0.59384,0.38975,0.40735,0.25374,1.17425,2.48325,1.47067,1.1245,0,0.000388,0.000388,0.000388
36,548.743,0.87106,1.69825,0.83011,0.97593,0,0.58487,0.40884,0.43091,0.29585,0.58376,0.40291,0.41952,0.25903,1.19019,2.39592,1.41986,1.14664,0,0.00037,0.00037,0.00037
37,564.159,0.85736,1.64016,0.80011,0.97214,0,0.65639,0.37845,0.42512,0.29058,0.65768,0.3826,0.4119,0.25705,1.20359,2.43813,1.64604,1.14263,0,0.000352,0.000352,0.000352
38,578.773,0.84795,1.64944,0.82763,0.98263,0,0.5629,0.4047,0.415,0.28794,0.58265,0.40608,0.40934,0.25217,1.20222,2.49698,1.50719,1.14675,0,0.000334,0.000334,0.000334
39,593.856,0.85138,1.67034,0.81633,0.98809,0,0.56416,0.4273,0.42888,0.29649,0.69939,0.3674,0.41891,0.25637,1.20398,2.46784,1.43917,1.16235,0,0.000316,0.000316,0.000316
40,609.101,0.8165,1.56944,0.77447,0.96806,0,0.535,0.42588,0.42872,0.30279,0.64557,0.3826,0.42227,0.26454,1.16834,2.38733,1.54327,1.13474,0,0.000298,0.000298,0.000298
41,643.232,0.86236,1.65947,0.87447,0.9784,0,0.61285,0.41298,0.43454,0.30273,0.63944,0.38812,0.42309,0.26503,1.18854,2.47318,1.53779,1.15486,0,0.00028,0.00028,0.00028
42,657.638,0.8467,1.64995,0.80103,0.98112,0,0.60155,0.42956,0.44733,0.30759,0.62144,0.4116,0.42923,0.26478,1.18718,2.42327,1.47313,1.14783,0,0.000262,0.000262,0.000262
43,672.073,0.83145,1.62454,0.76668,0.96948,0,0.54528,0.45166,0.44424,0.30783,0.65005,0.38998,0.43031,0.26745,1.20021,2.5045,1.43365,1.15523,0,0.000244,0.000244,0.000244
44,686.553,0.8274,1.59058,0.76299,0.96443,0,0.62051,0.40884,0.43496,0.29352,0.61567,0.39227,0.41806,0.25548,1.22123,2.45145,1.46558,1.15027,0,0.000226,0.000226,0.000226
45,700.76,0.81025,1.55034,0.71929,0.95864,0,0.666,0.39917,0.4352,0.30395,0.67818,0.39779,0.4257,0.26148,1.21506,2.46627,1.3788,1.17294,0,0.000208,0.000208,0.000208
46,715.001,0.81847,1.53751,0.7098,0.95604,0,0.65136,0.40608,0.44549,0.30611,0.64462,0.39779,0.42742,0.26197,1.2092,2.45257,1.36341,1.15219,0,0.00019,0.00019,0.00019
47,729.398,0.79326,1.52201,0.70425,0.94716,0,0.62823,0.41312,0.44924,0.31201,0.66293,0.38812,0.43467,0.2705,1.18768,2.47982,1.36998,1.14996,0,0.000172,0.000172,0.000172
48,1152.65,0.78162,1.53543,0.67235,0.94072,0,0.64833,0.42015,0.44452,0.30771,0.64525,0.41452,0.43607,0.27485,1.19343,2.47112,1.36691,1.15169,0,0.000154,0.000154,0.000154
49,1168.36,0.79006,1.48306,0.66169,0.94525,0,0.58274,0.42818,0.43874,0.30873,0.61774,0.39954,0.42705,0.2681,1.19712,2.46255,1.37987,1.1524,0,0.000136,0.000136,0.000136
50,1184.65,0.77181,1.48193,0.64727,0.93687,0,0.63947,0.42628,0.44769,0.30981,0.61829,0.41166,0.43189,0.27152,1.20692,2.48361,1.38412,1.16393,0,0.000118,0.000118,0.000118
