epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,16.1252,1.13452,2.73394,2.30861,1.14756,0,0.3125,0.16851,0.14445,0.09154,0.00973,0.00414,0.00021,0.00013,1.49556,43.8377,3.96041,1.35913,0,0.000324786,0.000324786,0.0678462
2,30.4119,1.18978,2.43507,1.48812,1.14023,0,0.36194,0.31354,0.23377,0.13971,0.02337,0.03867,0.00249,0.00057,1.46401,22.1227,3.61664,1.33648,0,0.000646274,0.000646274,0.0348343
3,44.7178,1.15827,2.29116,1.43442,1.14872,0,0.29019,0.29144,0.18279,0.10647,0.25024,0.26796,0.15338,0.07103,1.45352,4.25418,7.3673,1.33402,0,0.000955761,0.000955761,0.00181046
4,59.1249,1.22359,2.44061,1.4813,1.16686,0,0.32828,0.30249,0.19801,0.1087,0.26388,0.24862,0.12375,0.04613,1.59018,5.42154,4.98985,1.39059,0,0.000946,0.000946,0.000946
5,73.1226,1.17037,2.27774,1.38936,1.14073,0,0.35437,0.32873,0.24248,0.14315,0.33603,0.31077,0.22124,0.11633,1.47044,3.76242,2.61752,1.30546,0,0.000928,0.000928,0.000928
6,87.4481,1.1323,2.25865,1.35077,1.11578,0,0.46475,0.33978,0.31681,0.19511,0.47231,0.3453,0.3089,0.17733,1.3891,2.98142,2.27464,1.25814,0,0.00091,0.00091,0.00091
7,102.722,1.12143,2.24776,1.33365,1.12014,0,0.48388,0.34963,0.32792,0.21363,0.54244,0.32094,0.32016,0.18602,1.37164,2.92483,2.29618,1.24825,0,0.000892,0.000892,0.000892
8,118.442,1.11899,2.13559,1.27894,1.11819,0,0.48862,0.32873,0.32403,0.21211,0.49067,0.33011,0.31203,0.18782,1.37194,2.81744,2.37963,1.22562,0,0.000874,0.000874,0.000874
9,134.443,1.11504,2.19303,1.27187,1.09519,0,0.42194,0.37431,0.32058,0.21546,0.49918,0.32182,0.30825,0.18366,1.34556,2.98214,1.90826,1.22051,0,0.000856,0.000856,0.000856
10,150.232,1.07699,2.11487,1.24173,1.07633,0,0.50651,0.36292,0.34388,0.22817,0.52497,0.36326,0.34084,0.20217,1.3212,2.75341,1.7512,1.21102,0,0.000838,0.000838,0.000838
11,166.004,1.06309,2.11802,1.22697,1.08563,0,0.53298,0.38812,0.35982,0.23881,0.53719,0.38812,0.35392,0.20574,1.28223,2.63321,1.61752,1.20497,0,0.00082,0.00082,0.00082
12,182.024,1.05905,2.13086,1.17086,1.07184,0,0.54267,0.38351,0.37904,0.24716,0.54837,0.37983,0.36809,0.21804,1.30019,2.61358,1.86868,1.18211,0,0.000802,0.000802,0.000802
13,198.043,1.04469,2.03983,1.18731,1.07661,0,0.57257,0.35912,0.36935,0.24601,0.57542,0.3605,0.35811,0.22216,1.29564,2.63246,1.69026,1.17659,0,0.000784,0.000784,0.000784
14,213.661,1.04456,2.05684,1.17371,1.06654,0,0.59336,0.3648,0.3921,0.26823,0.63232,0.35869,0.3846,0.23364,1.26631,2.51818,1.54655,1.16444,0,0.000766,0.000766,0.000766
15,229.22,1.01295,1.95214,1.11521,1.0471,0,0.52863,0.39503,0.39551,0.27001,0.53707,0.37817,0.38243,0.2334,1.24665,2.52148,1.505,1.15881,0,0.000748,0.000748,0.000748
16,244.973,1.00808,2.01491,1.12937,1.05295,0,0.49871,0.37983,0.35957,0.24757,0.51626,0.38398,0.3594,0.21696,1.25843,2.56245,1.75149,1.17033,0,0.00073,0.00073,0.00073
17,260.421,0.98252,1.9113,1.0706,1.04923,0,0.53635,0.38122,0.38613,0.25659,0.57759,0.36188,0.37639,0.22615,1.26675,2.61252,1.56478,1.16243,0,0.000712,0.000712,0.000712
18,275.507,0.97655,1.96825,1.07372,1.03876,0,0.55872,0.36464,0.38033,0.25895,0.56225,0.37077,0.37893,0.22775,1.28431,2.57967,1.57974,1.16521,0,0.000694,0.000694,0.000694
19,290.683,0.98249,1.96023,1.0671,1.03854,0,0.53889,0.37431,0.35972,0.2448,0.55386,0.36188,0.34139,0.21259,1.25522,2.55438,1.75859,1.16383,0,0.000676,0.000676,0.000676
20,305.976,0.97885,1.90426,1.04199,1.03723,0,0.56194,0.39688,0.3793,0.2585,0.56016,0.38699,0.37073,0.22124,1.27781,2.59408,1.55583,1.19003,0,0.000658,0.000658,0.000658
21,321.281,0.97357,1.8786,1.03354,1.03887,0,0.50705,0.37934,0.35815,0.23962,0.53861,0.37245,0.35659,0.20985,1.26387,2.50325,1.79616,1.18485,0,0.00064,0.00064,0.00064
22,336.643,0.96302,1.86326,0.99568,1.02291,0,0.62952,0.35635,0.39877,0.2695,0.66012,0.35635,0.39169,0.24173,1.28034,2.50954,1.58233,1.17668,0,0.000622,0.000622,0.000622
