epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,14.903,1.24382,2.84718,2.88274,1.17973,0,0.39454,0.30663,0.24839,0.16936,0.38572,0.30703,0.24203,0.14544,1.30652,2.71023,2.23727,1.20433,0,0.00331183,0.00331183,0.0701935
2,46.2713,1.26576,2.65848,2.18314,1.18456,0,0.54364,0.28315,0.28877,0.19571,0.55595,0.28533,0.28366,0.16982,1.38934,2.79331,2.00912,1.21257,0,0.0060471,0.0060471,0.0395955
3,59.4982,1.36768,2.75908,2.07027,1.23875,0,0.41426,0.28231,0.26402,0.16989,0.41004,0.28039,0.25669,0.15145,1.49388,3.00828,2.07114,1.2678,0,0.00818237,0.00818237,0.00839742
4,73.1207,1.42167,2.79305,2.02698,1.26737,0,0.588,0.27348,0.28315,0.17108,0.57612,0.26796,0.26915,0.15537,1.55235,2.98979,2.03416,1.33317,0,0.0073,0.0073,0.0073
5,86.6866,1.46534,2.81374,1.99204,1.29936,0,0.546,0.25276,0.26038,0.16584,0.53393,0.25138,0.24907,0.15032,1.59892,3.13587,2.08308,1.35107,0,0.0064,0.0064,0.0064
6,99.2858,1.40125,2.72503,1.89648,1.26009,0,0.52275,0.30801,0.30384,0.18996,0.5261,0.2942,0.29458,0.18376,1.50223,2.99747,1.90072,1.32713,0,0.0055,0.0055,0.0055
7,111.801,1.34469,2.67208,1.80159,1.23575,0,0.50539,0.3384,0.32721,0.20933,0.50736,0.33011,0.31015,0.18247,1.40984,2.83356,1.785,1.25668,0,0.0046,0.0046,0.0046
8,124.71,1.2844,2.5338,1.72145,1.20736,0,0.60695,0.3384,0.35743,0.23198,0.60776,0.33978,0.34227,0.20354,1.39987,2.70292,1.73701,1.23627,0,0.0037,0.0037,0.0037
9,137.773,1.25002,2.46204,1.66396,1.17562,0,0.55112,0.34945,0.37184,0.2475,0.57811,0.34068,0.35083,0.21615,1.35104,2.56567,1.66204,1.20779,0,0.0028,0.0028,0.0028
10,150.696,1.21869,2.46031,1.62744,1.15756,0,0.54434,0.37707,0.37647,0.25175,0.52639,0.36464,0.35819,0.21892,1.31392,2.55398,1.63461,1.19173,0,0.0019,0.0019,0.0019
11,163.158,1.15343,2.33245,1.55356,1.13246,0,0.56412,0.37431,0.39421,0.27262,0.58791,0.35667,0.3773,0.23704,1.29379,2.50521,1.57087,1.18062,0,0.001,0.001,0.001
